"","Comp1","Comp2","Comp3","Comp4"
"aic.acc","0.9456(0.0283)","0.9422(0.033)","0","0.9354(0.0298)"
"bic.acc","0.9444(0.0289)","0.9422(0.033)","0","0.9354(0.0298)"
"ridge.acc","0.9544(0.0309)","0.95(0.0331)","0.95(0.035)","0.9523(0.0266)"
"lasso.acc","0.9456(0.0345)","0.95(0.03)","0.9467(0.032)","0.9432(0.0297)"
"mcp.acc","0.9311(0.0386)","0.9311(0.0386)","0.9311(0.0386)","0.9277(0.0239)"
"scad.acc","0.9389(0.0409)","0.9389(0.0409)","0.9378(0.0395)","0.9396(0.0282)"
"xgb.acc","0.9589(0.0331)","0.9578(0.0301)","0.9533(0.0391)","0.9488(0.0291)"
"rf.acc","0.9566(0.0331)","0.9544(0.0339)","0.9556(0.0359)","0.9516(0.0274)"
"svm.acc","0.952(0.0327)","0.9544(0.0309)","0.9567(0.0228)","0.9396(0.0249)"
"aic.auc","0.9932(0.0076)","0.9385(0.0418)","0","0.9359(0.0338)"
"bic.auc","0.9921(0.0088)","0.9385(0.0418)","0","0.9359(0.0338)"
"ridge.auc","0.9931(0.0087)","0.9933(0.0078)","0.995(0.006)","0.9939(0.0064)"
"lasso.auc","0.9935(0.007)","0.9937(0.0066)","0.9936(0.0062)","0.9918(0.0063)"
"mcp.auc","0.9815(0.0126)","0.9815(0.0126)","0.9815(0.0126)","0.9811(0.011)"
"scad.auc","0.9897(0.0074)","0.9897(0.0074)","0.9897(0.0074)","0.99(0.006)"
"xgb.auc","0.9942(0.0078)","0.993(0.0074)","0.9913(0.0103)","0.9915(0.007)"
"rf.auc","0.992(0.0095)","0.9908(0.0106)","0.9894(0.0127)","0.988(0.0094)"
"svm.auc","0.9939(0.0073)","0.9935(0.0094)","0.986(0.0203)","0.9912(0.0087)"
