"","y","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"537",-110.3538,-0.4654,2.2342,0.985,1.9511,-0.1658,-0.8092,1.7976,0.0414,-0.5146,-0.1736,14.27,22.55,97.4639,655.7256,0.1038,0.1154,0.1463,0.0614,0.1926,0.0598,-0.4595,2.4092,0.556,0.1254,-0.162,-0.619,2.1953,0.0881,-0.9329,-0.1629
"90",-27.5923,-0.0919,0.7908,-1.0694,2.8166,-0.2146,-0.438,0.432,-2.0214,0.3094,-0.2231,14.64,15.24,85.0469,598.2026,0.1132,0.1339,0.0997,0.0706,0.2116,0.0635,0.1118,0.9681,-2.5703,2.1409,-0.3056,-0.0501,0.8011,-3.0428,1.0686,-0.3065
"403",-62.4796,1.7309,0.1126,1.4137,4.7982,0.2451,1.399,-0.2949,0.5099,2.5497,0.2423,12.96,18.29,82.5079,579.4802,0.0735,0.079,0.0406,0.0188,0.1874,0.059,2.8186,0.1481,1.5948,4.7171,0.5202,2.6686,-0.0413,1.15,3.7316,0.5199
"206",-28.9912,0.0404,-0.7302,1.0993,5.0327,0.7605,-0.3175,-1.1111,0.1256,2.3956,0.7551,15.12,16.68,103.5724,628.3163,0.0888,0.0959,0.0755,0.0408,0.1594,0.0599,-0.5274,-1.0156,1.3097,4.3397,1.529,-0.6936,-1.1933,0.8295,3.2264,1.5285
"227",-43.048,-0.5495,1.6712,1.0893,0.2626,-0.155,-0.8448,1.2862,0.2841,-1.5106,-0.1621,10.44,15.46,73.4141,248.8133,0.1053,0.0772,0.0066,0.0122,0.1788,0.0645,-0.5106,1.9536,0.8218,-1.0054,0.3357,-0.6396,1.7832,0.4258,-1.8217,0.3349
"353",2.7901,-0.9942,1.6568,1.5739,4.977,1.1914,-1.4528,1.297,0.2978,0.538,1.1822,25.73,17.46,173.6088,2031.1046,0.1149,0.2363,0.3368,0.1913,0.1956,0.0612,-1.639,2.1336,1.1715,2.5323,2.4888,-1.8692,1.9554,0.5508,0.9,2.4878
"63",-100.458,1.1217,-0.5221,0.8441,2.9699,-0.6678,0.789,-0.9465,-0.1085,0.473,-0.6731,14.25,22.15,100.5106,629.7424,0.1049,0.2008,0.2135,0.0865,0.1949,0.0729,2.1013,-0.393,0.7293,2.0859,-0.713,1.9436,-0.6033,0.2555,1.0173,-0.7136
"181",-42.2465,-1.5065,0.47,0.7106,4.0609,-1.2441,-1.9845,0.0559,-0.5956,-0.6401,-1.2531,27.22,21.87,181.5175,2337.5251,0.1094,0.1914,0.2871,0.1878,0.18,0.0577,-2.5632,0.7178,-0.0235,0.8152,-1.1167,-2.8023,0.5106,-0.6566,-0.8847,-1.1177
"36",-84.6157,-0.6817,-1.3864,-0.3209,2.4818,-0.1126,-1.0543,-1.8143,-1.3457,-0.4234,-0.1198,16.74,21.59,105.1967,1016.0105,0.0961,0.1336,0.1348,0.0602,0.1896,0.0566,-1.2029,-2.067,-1.0635,1.0973,-0.2198,-1.38,-2.2754,-1.5687,-0.1009,-0.2206
"333",-85.6135,-0.0293,-0.0603,-1.6859,3.3732,1.5978,-0.3382,-0.4989,-2.5254,1.4492,1.5899,11.22,19.86,58.9815,654.0887,0.1054,0.0678,0.005,0.0076,0.194,0.0603,0.1095,0.0215,-2.8929,2.8291,2.8175,-0.0265,-0.1787,-3.3046,1.9572,2.8166
"329",-72.8583,0.9386,-0.4623,1.6744,3.7561,-0.9319,0.5716,-0.8789,0.6696,0.9477,-0.941,16.27,20.71,108.4246,858.2415,0.1169,0.1319,0.1478,0.0849,0.1948,0.0628,0.4788,-1.1214,1.8991,2.5504,-0.898,0.305,-1.3241,1.4013,1.3822,-0.8991
"386",-119.3676,0.5404,1.5043,1.1489,2.1189,-1.2376,0.1841,1.0507,0.2024,-0.4189,-1.2438,14.6,23.29,101.2565,833.6243,0.0868,0.0664,0.0839,0.0527,0.1627,0.0542,0.4116,1.8765,0.516,0.8979,-1.2106,0.2487,1.6571,0.0474,-0.1835,-1.2112
"286",-60.4803,0.4454,1.3069,1.3109,1.854,1.9441,0.1113,0.8823,0.4229,-0.3161,1.9393,12.58,18.4,85.4874,350.8961,0.0839,0.0422,0.0019,0.0029,0.1697,0.0586,0.5512,2.2082,1.3783,0.9802,2.9418,0.4035,2.0174,0.9447,0.0219,2.9413
"392",-70.1469,-0.57,-2.2583,1.2454,1.8113,1.1906,-0.8382,-2.6686,0.502,0.3252,1.185,8.734,16.84,46.0211,11.5467,0.1039,0.0743,0,0,0.1985,0.071,-0.6741,-3.1921,1.6407,1.2927,2.4031,-0.7875,-3.3725,1.2809,0.5862,2.4025
"6",-47.9219,-0.411,0.4849,0.9979,2.3043,0.8137,-0.7226,0.1284,0.1177,0.1657,0.8055,12.45,15.7,53.2611,497.5967,0.1278,0.17,0.1578,0.0809,0.2087,0.0761,-0.4666,0.6106,0.7552,1.4035,1.3659,-0.6108,0.4414,0.3158,0.4552,1.3649
"123",-22.0262,0.3736,1.7061,2.0765,4.2445,0.7487,-0.0653,1.322,0.8322,0.0996,0.7369,24.25,20.2,186.5049,1611.2598,0.1447,0.2867,0.4268,0.2012,0.2655,0.0688,-0.0195,2.3858,2.1411,2.3606,1.2324,-0.2406,2.1914,1.5335,0.8056,1.231
"222",-10.9222,0.2752,0.7033,0.7485,1.8783,-1.9231,-0.0585,0.3585,-0.1716,-0.4466,-1.9305,13.56,13.9,89.1778,498.5439,0.1051,0.1192,0.0786,0.0445,0.1962,0.063,-0.2062,1.4668,1.0307,0.7218,-2.5848,-0.3602,1.3095,0.5752,-0.2899,-2.5856
"138",-36.5462,1.0273,0.0977,1.6617,0.7949,-1.5443,0.7155,-0.2759,0.8239,-1.1629,-1.5511,11.43,15.39,74.1611,380.1373,0.0964,0.0689,0.035,0.0288,0.1734,0.0586,1.4287,-0.0942,1.549,-0.8484,-2.1803,1.291,-0.2635,1.1344,-1.7321,-2.181
"80",-52.6451,1.3667,1.3768,0.8522,2.5579,0.6174,1.039,0.9723,-0.0447,0.3493,0.6104,12.86,18,97.0977,522.4691,0.0993,0.0955,0.0389,0.0232,0.1718,0.06,2.0179,2.111,0.7875,1.725,1.2448,1.8689,1.9236,0.3453,0.7534,1.2441
"294",-59.887,-1.1078,0.7384,1.6493,1.7745,-1.0626,-1.4283,0.3369,0.7953,-0.2624,-1.0676,11.85,17.46,67.3329,469.9742,0.0837,0.0564,0.0269,0.0228,0.1875,0.0572,-2.0005,1.0633,1.7093,1.276,-0.9491,-2.142,0.8793,1.2877,0.3638,-0.9496
"565",-71.8395,-0.3048,0.4286,0.5168,1.1338,0.9386,-0.7351,0.0048,-0.6376,-2.6704,0.929,21.56,22.39,148.367,1397.4485,0.111,0.1159,0.2439,0.1389,0.1726,0.0562,-0.4863,0.2641,-0.5264,-2.0003,1.4066,-0.6948,0.053,-1.0934,-3.4612,1.4056
"245",-94.5291,1.6446,0.2133,0.2024,3.6491,-2.0169,1.2436,-0.2262,-0.904,0.295,-2.0245,19.4,23.5,128.2673,1264.3217,0.1027,0.1558,0.2049,0.0889,0.1978,0.06,2.2465,-0.1558,-0.5501,2.0985,-2.6834,2.0521,-0.3741,-1.0937,0.7654,-2.6842
"188",-41.4565,-0.3906,2.0021,1.0745,0.5325,-1.2469,-0.708,1.607,0.2283,-1.4787,-1.2535,11.71,17.19,77.1358,487.4445,0.0977,0.0614,0.0381,0.0324,0.1516,0.061,-0.5464,2.6353,1.1791,-1.2062,-1.5608,-0.6866,2.4533,0.7601,-2.1084,-1.5616
"29",-160.9968,0.8406,0.4177,1.2244,3.6839,0.5325,0.4906,-0.0439,0.2421,1.0215,0.5252,15.3,25.27,86.5026,679.0091,0.1082,0.1697,0.1683,0.0875,0.1926,0.0654,0.9858,0.4133,0.9168,3.3097,1.1255,0.8197,0.1843,0.4292,2.1877,1.1247
"438",-32.1868,0.019,0.5138,0.5939,2.5243,0.2046,-0.3314,0.1329,-0.3365,0.0934,0.1998,14.04,15.98,85.329,890.4353,0.0846,0.059,0.0353,0.0294,0.1714,0.059,0.5366,0.8335,0.2435,1.0475,0.5823,0.3778,0.6599,-0.2153,0.0011,0.5818
"420",-131.1002,0.7975,0.7794,1.2914,3.3939,1.2001,0.4879,0.3261,0.4594,1.484,1.193,11.16,21.41,41.4391,445.3192,0.1018,0.0598,0.009,0.0108,0.1615,0.0614,1.2639,1.1496,1.2429,3.4873,1.5341,1.1283,0.9399,0.8341,2.6211,1.5333
"313",-4.0931,1.207,0.8787,1.156,1.7094,-0.5776,0.878,0.5332,0.2648,-0.4958,-0.5825,12.76,13.37,90.5976,539.9087,0.0879,0.0795,0.0405,0.0255,0.1601,0.0614,1.8089,1.3836,1.088,0.7439,-0.4767,1.6605,1.2296,0.6482,-0.2263,-0.4772
"131",-24.6245,1.8146,0.3446,1.3397,3.654,-0.0205,1.4963,-0.0031,0.4675,1.5624,-0.0277,12.19,13.29,87.8191,437.0049,0.1066,0.0951,0.0286,0.0288,0.188,0.0647,2.8016,0.2597,0.897,3.4522,0.1591,2.6581,0.1061,0.4658,2.5208,0.1583
"293",-36.434,0.3378,-0.0529,0.6104,2.4038,-0.0701,0.0062,-0.4283,-0.283,0.1789,-0.0764,12.95,16.02,81.2652,430.8255,0.1005,0.0794,0.0616,0.0337,0.173,0.0647,0.4383,0.1706,0.1193,1.7873,0.1061,0.2884,-0.0028,-0.3225,0.8101,0.1055
"201",-79.1841,-1.1288,1.2919,0.8325,1.5305,0.1576,-1.45,0.8701,-0.0335,-0.5722,0.1512,12.23,19.56,85.4954,585.7073,0.0959,0.0809,0.0419,0.0411,0.1979,0.0601,-1.4572,1.574,0.3916,0.4236,0.4479,-1.6013,1.3765,-0.0378,-0.5119,0.4472
"569",-165.1462,0.6984,-0.839,-2.0518,2.2798,1.4993,0.4408,-1.3344,-2.744,0.9743,1.5006,7.76,24.54,45.3914,270.6917,0.0526,0.0436,0,0,0.1587,0.0588,1.5499,-1.6081,-3.1688,2.2406,2.7266,1.4456,-1.8362,-3.5025,1.6086,2.7267
"534",-55.7729,0.0705,1.4978,2.4963,4.9238,-1.6413,-0.3457,1.0821,1.3676,1.3661,-1.6483,20.47,20.67,137.9035,1329.7651,0.0916,0.1313,0.1523,0.1015,0.2166,0.0542,-0.3339,2.3046,2.1955,3.6915,-1.6521,-0.5355,2.1021,1.6414,2.2994,-1.6528
"251",-94.9295,0.7033,1.7883,1.0575,3.9555,-0.4366,0.2858,1.355,-0.0849,0.3093,-0.4441,20.94,23.56,139.3214,1279.2004,0.1007,0.1606,0.2712,0.131,0.2205,0.059,0.8173,2.2363,0.7341,1.8673,-0.3022,0.6134,2.0189,0.1726,0.45,-0.303
"228",-34.3418,0.0522,0.7525,2.965,2.9664,-0.5165,-0.302,0.3842,1.9973,0.3935,-0.5211,15,15.51,96.8291,756.2284,0.0837,0.1096,0.065,0.0378,0.1881,0.0591,0.0969,1.3239,3.6879,2.0737,-0.3479,-0.0682,1.1543,3.2107,0.9805,-0.3484
"458",-163.1272,-0.1567,-0.4921,1.3458,3.4169,0.0338,-0.4974,-0.978,0.4432,1.1379,0.0278,13.21,25.25,74.2642,416.9012,0.0879,0.052,0.0277,0.0207,0.1619,0.0558,0.0287,-0.3898,1.304,2.9503,0.1893,-0.1238,-0.6213,0.8594,1.9549,0.1887
"199",-81.4181,0.7685,0.5162,1.8438,5.4621,-1.1686,0.3683,0.0754,0.7406,2.116,-1.1743,19.18,22.49,132.8124,1359.3896,0.0852,0.1428,0.1114,0.0677,0.1767,0.0553,0.7515,0.7354,2.422,5.0561,-1.3552,0.5583,0.5212,1.8811,3.7257,-1.3558
"160",-10.6916,-0.2788,-0.3131,2.7587,2.1869,1.5278,-0.5897,-0.6676,1.938,0.3096,1.5244,10.9,12.96,91.4747,507.1045,0.0752,0.0372,0.0031,0.0066,0.1442,0.0574,-0.2268,-0.6,3.8185,1.4225,2.6832,-0.3605,-0.7515,3.4162,0.5687,2.6829
