metrics,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11
aic.err,27.22,0.00,25.02,41.81,41.81,28.75,27.80,27.08,25.53,25.01,25.42
aic.sd,6.21,0.00,5.49,14.33,14.33,5.97,5.82,6.23,5.40,5.39,5.05
bic.err,24.99,0.00,25.04,28.98,28.98,26.59,26.10,25.91,25.58,25.24,25.60
bic.sd,5.18,0.00,5.50,7.02,7.02,5.62,5.64,5.62,5.74,5.61,5.54
ridge.err,94.15,1909.24,92.67,72.71,72.71,61.74,60.55,56.30,54.13,53.21,52.85
ridge.sd,28.22,401.99,33.86,21.17,21.17,17.76,17.52,16.24,15.33,14.60,13.90
lasso.err,66.34,26.97,67.70,26.11,26.11,25.44,25.57,25.39,25.00,25.04,25.34
lasso.sd,18.83,6.69,19.43,6.03,6.03,5.63,5.63,5.56,5.60,5.72,5.66
mcp.err,67.22,27.06,69.43,26.76,26.76,27.00,26.98,26.44,25.59,25.67,25.68
mcp.sd,19.51,6.26,19.09,5.50,5.50,5.48,5.59,5.58,5.42,5.34,5.32
scad.err,67.77,28.21,68.38,26.81,26.81,26.50,26.49,26.13,25.52,25.41,25.79
scad.sd,19.70,6.62,19.54,5.65,5.65,5.63,5.71,6.14,5.51,5.57,5.54
xgb.err,56.99,82.21,57.80,69.96,67.49,67.58,66.93,68.93,61.17,63.65,63.45
xgb.sd,17.02,39.34,20.57,27.20,31.27,31.17,26.46,34.55,24.78,27.36,29.08
rf.err,311.80,305.62,269.86,254.14,246.97,248.41,240.44,208.60,210.42,218.13,214.36
rf.sd,131.43,157.61,145.40,120.39,128.22,130.66,125.87,105.34,108.53,119.28,107.37
