"","y","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",-110.3538,-0.4654,2.2342,0.985,1.9511,-0.1658,-0.8092,1.7976,0.0414,-0.5146,-0.1736,14.27,22.55,97.4639,655.7256,0.1038,0.1154,0.1463,0.0614,0.1926,0.0598,-0.4595,2.4092,0.556,0.1254,-0.162,-0.619,2.1953,0.0881,-0.9329,-0.1629
"2",-27.5923,-0.0919,0.7908,-1.0694,2.8166,-0.2146,-0.438,0.432,-2.0214,0.3094,-0.2231,14.64,15.24,85.0469,598.2026,0.1132,0.1339,0.0997,0.0706,0.2116,0.0635,0.1118,0.9681,-2.5703,2.1409,-0.3056,-0.0501,0.8011,-3.0428,1.0686,-0.3065
"3",-62.4796,1.7309,0.1126,1.4137,4.7982,0.2451,1.399,-0.2949,0.5099,2.5497,0.2423,12.96,18.29,82.5079,579.4802,0.0735,0.079,0.0406,0.0188,0.1874,0.059,2.8186,0.1481,1.5948,4.7171,0.5202,2.6686,-0.0413,1.15,3.7316,0.5199
"4",-28.9912,0.0404,-0.7302,1.0993,5.0327,0.7605,-0.3175,-1.1111,0.1256,2.3956,0.7551,15.12,16.68,103.5724,628.3163,0.0888,0.0959,0.0755,0.0408,0.1594,0.0599,-0.5274,-1.0156,1.3097,4.3397,1.529,-0.6936,-1.1933,0.8295,3.2264,1.5285
"5",-43.048,-0.5495,1.6712,1.0893,0.2626,-0.155,-0.8448,1.2862,0.2841,-1.5106,-0.1621,10.44,15.46,73.4141,248.8133,0.1053,0.0772,0.0066,0.0122,0.1788,0.0645,-0.5106,1.9536,0.8218,-1.0054,0.3357,-0.6396,1.7832,0.4258,-1.8217,0.3349
"6",2.7901,-0.9942,1.6568,1.5739,4.977,1.1914,-1.4528,1.297,0.2978,0.538,1.1822,25.73,17.46,173.6088,2031.1046,0.1149,0.2363,0.3368,0.1913,0.1956,0.0612,-1.639,2.1336,1.1715,2.5323,2.4888,-1.8692,1.9554,0.5508,0.9,2.4878
"7",-100.458,1.1217,-0.5221,0.8441,2.9699,-0.6678,0.789,-0.9465,-0.1085,0.473,-0.6731,14.25,22.15,100.5106,629.7424,0.1049,0.2008,0.2135,0.0865,0.1949,0.0729,2.1013,-0.393,0.7293,2.0859,-0.713,1.9436,-0.6033,0.2555,1.0173,-0.7136
"8",-42.2465,-1.5065,0.47,0.7106,4.0609,-1.2441,-1.9845,0.0559,-0.5956,-0.6401,-1.2531,27.22,21.87,181.5175,2337.5251,0.1094,0.1914,0.2871,0.1878,0.18,0.0577,-2.5632,0.7178,-0.0235,0.8152,-1.1167,-2.8023,0.5106,-0.6566,-0.8847,-1.1177
"9",-84.6157,-0.6817,-1.3864,-0.3209,2.4818,-0.1126,-1.0543,-1.8143,-1.3457,-0.4234,-0.1198,16.74,21.59,105.1967,1016.0105,0.0961,0.1336,0.1348,0.0602,0.1896,0.0566,-1.2029,-2.067,-1.0635,1.0973,-0.2198,-1.38,-2.2754,-1.5687,-0.1009,-0.2206
"10",-85.6135,-0.0293,-0.0603,-1.6859,3.3732,1.5978,-0.3382,-0.4989,-2.5254,1.4492,1.5899,11.22,19.86,58.9815,654.0887,0.1054,0.0678,0.005,0.0076,0.194,0.0603,0.1095,0.0215,-2.8929,2.8291,2.8175,-0.0265,-0.1787,-3.3046,1.9572,2.8166
