"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","y"
"37",-0.370527471096308,-1.76801201048548,-0.441119265985799,-0.138991513218824,-0.0204284631411167,-0.203045628087388,-1.53174724855029,-0.949399952551962,-1.76326871126272,-1.04886313308232,-12.9075711011373,-49.9247174132461,19.4140779480698,-15.3394073998094,-26.6333161367967,-53.6209497694567,21.7145598163537,-26.748237756041,36.4824417078882,-30.9325967211806,7.1347149946017,19.0892450597192,-31.3894315325112,-71.4312795077835,-30.0313615674433,-47.7616608483806,-36.7624293512111,-96.4744486612806,-2.93554392655885,23.8888047306886,1
"148",0.0976721187761198,-0.367373992841514,-0.247436973814535,0.950325375925128,-0.3312632005986,0.835721865486921,-0.347241628952123,-0.0794670442111195,-0.474500872033576,0.245071206230536,-17.8066420050399,-50.3324000837043,9.6151509876188,-15.016812483821,-10.5791594974519,-24.2765915653113,21.4951032405278,-30.2428992882314,33.7886430117304,-35.836950070043,7.0785676707963,18.5239952755668,-25.2873797319472,-59.6107784027679,4.08772692285916,-47.8103784263463,-29.2411764391929,-91.8339364968303,-52.9209854161911,16.6510279495864,1
"187",-1.8381045815771,0.651068275429876,-0.323909005294231,1.48150569809534,-0.194693272792052,-0.896715227259082,0.0270393928940248,-0.186680166807371,0.0291073406558223,-1.81909830383697,-29.8717002283894,-50.2632226165639,14.6802583737528,-15.1999487474612,-9.00816723138849,-22.0752703705419,21.4374017612343,-28.179063980886,36.0206225772529,-35.7470548429169,7.40487857337877,18.7271110071193,-26.0835541143,-63.9253664815513,7.19737576016113,-53.898340121859,-31.0829163932457,-97.9262538952941,3.43615723958641,18.0156178124554,0
"92",0.0276852113182311,0.647898061943721,-0.650404826063895,-0.663052789287373,0.631447607110092,-1.77396307785639,0.127703433677868,-0.31784400238341,-0.524951365209932,-0.238056168251528,-17.7482684645611,-49.6805999358023,11.5711328382258,-15.9340958369152,-16.6711944681992,-23.8709013617545,22.1821435692566,-29.4799742409663,34.2556866417131,-31.8540349147554,8.360855374199,15.735635806186,-25.4759840314537,-89.2251906676953,-12.285547738257,-55.058831835694,-37.965586618629,-94.8320683636358,-41.0366810907695,24.0379368749096,0
"384",-0.043351500880213,-0.358689881212677,-0.34227386540035,-0.0379661050831494,0.235150937190035,-1.27075530417101,0.675029073627427,-0.466246819227989,-0.813870575098689,-0.866641145629569,-37.0842815179788,-49.9536817638116,32.8486993239874,-15.736798238241,-14.6449974270091,-32.2865870800497,22.4232045819928,-33.6457395840359,34.8408500258057,-36.8079188685306,5.27833916023099,18.3917273782336,-33.5254136506457,-74.5586995334741,3.71872112754373,-51.6514494186837,-50.2610444278231,-79.0131785274558,-46.8388510947894,17.0332571573421,0
"65",-0.0185749628453433,-0.539753772389792,0.254315576636642,0.637867594394095,0.341370293667545,-0.959475840345223,-1.04679899317263,0.726013763246689,0.614743411006867,1.00536393550442,-24.8929348768719,-49.4273682581431,23.4959208177288,-14.0675517282631,-18.1632931541893,-13.2850670172564,22.0635587054263,-31.7693763636468,33.0705431003938,-30.5340706147612,5.54335841598106,15.9019428244333,-32.6214384685706,-39.4333153697754,-13.0639422416439,-55.4470658243232,-40.6310358350301,-87.0945213443246,-68.4633932521476,22.4344209750192,1
"390",-0.971153388792054,-0.0534053009029508,0.897316585927318,0.463355515324218,-0.592964629181262,0.65178678931091,-0.058816584351574,0.774798458634109,1.72827110388503,0.167805648884102,-40.2270207575025,-50.3524396292484,18.5582152020299,-15.3593815669089,-9.70422373553671,-40.3308534323297,21.1852161677119,-30.7331813150211,33.6036405204007,-31.2270624825974,3.91328162650202,18.3666273589668,-27.0588138842006,-77.8564985231575,5.46991446863602,-49.8997533410195,-18.7340250410826,-88.913276114985,-80.0811226353254,24.9248838405827,1
"279",1.51854000610067,-1.05301200395991,-0.618656140023392,-0.445599406750596,0.85912078685699,0.350110318067163,-0.181261167023734,-0.186996430357176,-1.63147407909753,0.704728967294433,-19.9143489829091,-50.3634589347321,17.9661636361358,-15.5133389502121,-13.958515117752,-30.1676020481118,22.0907134888712,-30.5033914552509,33.0328035733666,-33.449166026816,5.43465855679673,19.3504333598643,-30.3586069254904,-78.7794828727493,1.271758283879,-51.2861851850993,-47.1682530663944,-87.5128336133657,-74.3090161212089,18.876386819454,1
"269",0.493720613793368,0.44876719612419,-1.27959475997513,0.725213235962257,-0.516513208148424,1.58650411521975,-0.660443253188549,-0.659539345687226,-0.821391101534044,1.30502728322977,-28.2529183766155,-50.0865747052086,24.6660678048679,-14.7513521294718,-23.8844533770043,20.3101304620152,21.5613428884555,-34.4944127272729,34.2984523730228,-33.7254786486466,5.64411062563737,17.8200021912731,-31.5257582112825,-50.5073364416523,-28.8190501281868,-66.2235646956791,-23.1469402296891,-82.8791400475885,-46.9731648800872,20.3140810557966,1
"221",0.737008096828343,-1.68566054978679,1.31045758543682,-0.735405003083713,0.0430928721356487,-0.0505909293503134,-2.33932790700544,0.271463330550425,0.835550655063385,-0.0172747317484368,-24.6918696214136,-50.3718655390225,12.333765323913,-15.3015694794826,-16.5578727291345,-17.5180924184613,21.864300142106,-29.9557422499065,33.9640772176242,-41.8271572950646,4.50241261869691,18.7572780979112,-27.4082498410876,-70.9874449235487,-3.95205160071904,-54.0454139227141,-33.5279540659077,-87.8808729143925,-56.4250470639824,8.15015785872039,1
