"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6"
"aic.acc","0.8853(0.0394)","0","0.9093(0.0268)","0.8933(0.0405)","0.912(0.051)","0.9233(0.0441)"
"bic.acc","0.9147(0.0565)","0","0.9093(0.0268)","0.8933(0.0405)","0.906(0.0454)","0.95(0.0268)"
"lasso.acc","0.9221(0.0459)","0.9253(0.0496)","0.9507(0.0228)","0.946(0.0251)","0.946(0.0256)","0.94(0.0231)"
"mcp.acc","0.9453(0.0416)","0.9537(0.0316)","0.9453(0.0261)","0.9487(0.025)","0.9493(0.027)","0.95(0.0272)"
"scad.acc","0.9421(0.0416)","0.9505(0.0334)","0.9487(0.0259)","0.9487(0.0259)","0.9507(0.0252)","0.9507(0.0248)"
"xgb.acc","0.8853(0.0401)","0.8337(0.0525)","0.8853(0.0274)","0.896(0.0247)","0.8893(0.034)","0.8887(0.0292)"
"rf.acc","0.8126(0.0517)","0.7337(0.0628)","0.8407(0.0379)","0.846(0.0331)","0.8547(0.0314)","0.8573(0.0367)"
"aic.auc","0.903(0.0905)","0","0.891(0.0586)","0.8646(0.0614)","0.9059(0.0851)","0.9636(0.0348)"
"bic.auc","0.9135(0.0982)","0","0.891(0.0586)","0.8646(0.0614)","0.9047(0.0839)","0.9805(0.0257)"
"lasso.auc","0.9744(0.021)","0.9856(0.015)","0.9915(0.007)","0.9921(0.0068)","0.9897(0.0084)","0.9897(0.0075)"
"mcp.auc","0.9769(0.0203)","0.9926(0.0098)","0.9882(0.0066)","0.9886(0.0068)","0.9892(0.0071)","0.9894(0.0072)"
"scad.auc","0.9768(0.0216)","0.992(0.0114)","0.9899(0.0072)","0.9899(0.0075)","0.9902(0.0071)","0.9903(0.0069)"
"xgb.auc","0.9576(0.0236)","0.9131(0.0378)","0.949(0.0197)","0.9536(0.0198)","0.9562(0.0178)","0.9515(0.0177)"
"rf.auc","0.9125(0.0491)","0.752(0.0847)","0.9205(0.0232)","0.9339(0.0266)","0.9407(0.0176)","0.9412(0.019)"
