"Time" "P" "Temp" "Design" "Machine" "block" "midpt" "Strength" "Effort"
5 80 250 1 1 1 0 0.99 2
10 80 250 1 1 1 0 2.21 6
5 80 300 1 1 1 0 0.86 2
10 80 300 1 1 1 0 2.11 5
5 100 250 1 1 1 0 1.46 4
10 100 250 1 1 1 0 2.55 6
5 100 300 1 1 1 0 1.44 4
10 100 300 1 1 1 0 2.43 6
5 80 250 1 2 1 0 1.04 3
10 80 250 1 2 1 0 2.42 6
5 80 300 1 2 1 0 0.72 2
10 80 300 1 2 1 0 2.09 5
5 100 250 1 2 1 0 1.45 4
10 100 250 1 2 1 0 2.54 6
5 100 300 1 2 1 0 1.04 3
10 100 300 1 2 1 0 2.45 6
5 80 250 2 1 1 0 0.93 1
10 80 250 2 1 1 0 2.18 3
5 80 300 2 1 1 0 0.58 1
10 80 300 2 1 1 0 1.74 3
5 100 250 2 1 1 0 1.26 2
10 100 250 2 1 1 0 2.57 4
5 100 300 2 1 1 0 1.27 2
10 100 300 2 1 1 0 2.16 3
5 80 250 2 2 1 0 0.83 1
10 80 250 2 2 1 0 2.03 3
5 80 300 2 2 1 0 0.58 1
10 80 300 2 2 1 0 1.85 3
5 100 250 2 2 1 0 1.33 2
10 100 250 2 2 1 0 2.56 4
5 100 300 2 2 1 0 1.1 2
10 100 300 2 2 1 0 2.22 3
7.5 90 275 1 1 1 1 1.44 4
7.5 90 275 2 1 1 1 1.38 2
7.5 90 275 1 2 1 1 1.32 3
7.5 90 275 2 2 1 1 1.28 2
7.5 90 275 1 1 1 1 1.27 3
7.5 90 275 2 1 1 1 1.16 2
7.5 90 275 1 2 1 1 1.44 4
7.5 90 275 2 2 1 1 1.15 2
5 90 275 1 1 2 0 0.96 2
5 90 275 2 1 2 0 0.96 1
5 90 275 1 2 2 0 1.15 3
5 90 275 2 2 2 0 1.04 1
10 90 275 1 1 2 0 2.25 6
10 90 275 2 1 2 0 2 3
10 90 275 1 2 2 0 2.38 6
10 90 275 2 2 2 0 1.99 3
7.5 80 275 1 1 2 0 1.1 3
7.5 80 275 2 1 2 0 0.98 1
7.5 80 275 1 2 2 0 1.04 3
7.5 80 275 2 2 2 0 1.12 2
7.5 100 275 1 1 2 0 1.44 4
7.5 100 275 2 1 2 0 1.2 2
7.5 100 275 1 2 2 0 1.64 4
7.5 100 275 2 2 2 0 1.49 2
7.5 90 250 1 1 2 0 1.61 4
7.5 90 250 2 1 2 0 1.32 2
7.5 90 250 1 2 2 0 1.59 4
7.5 90 250 2 2 2 0 1.49 2
7.5 90 300 1 1 2 0 1.22 3
7.5 90 300 2 1 2 0 1.06 2
7.5 90 300 1 2 2 0 1.4 4
7.5 90 300 2 2 2 0 1.17 2
